db_source,db_name,source_category,is_internal,enabled,search_modes,ad_groups_count,ad_groups,sample_questions_count,metadata_context_fields,query_type,content_type,display_order,batch_size,max_selected_files,top_chunks_catalog,top_chunks_metadata,page_threshold_full_content,deep_research_enabled,max_parallel_files,max_chunks_per_file,max_pages_full_context,max_primary_section_pages,max_subsection_pages,max_neighbour_chunks,max_gap_fill_pages,has_catalog_config,has_semantic_config,has_metadata_config,has_use_when
external_ey,EY IFRS Guidance,external,true,true,catalog|semantic,1,APP_0MF0_MAVEN_APG_EXTERNAL_IRIS,0,document_summary|document_description|document_usage,semantic search,general content,100,10,10,2,3,100,true,20,20,100,6,3,4,5,false,false,false,false
external_iasb,International Accounting Standards Board (IASB),external,true,true,catalog|semantic,1,APP_0MF0_MAVEN_APG_EXTERNAL_IRIS,2,document_summary|document_description|document_usage,semantic search,general content,100,10,10,2,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_aio,Auditor Independence Office Policy Documents,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_capm,Corporate Accounting Policy Manuals,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_cheatsheets,APG Cheatsheets,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_APG_IRIS,0,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_esg,Internal ESG Guidance,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_ext_reporting_and_disclosure,External Reporting and Disclosure Policies,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_global_finance_standards,Global Financial Standards,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_intragroup_memos,Intragroup Reconciliation Memos,internal,true,true,catalog|semantic,1,APP_0MF0_INTRAGROUP_MEMOS_IRIS,3,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,10,5,4,5,false,false,false,false
internal_management_reporting,Management Reporting Policies & Guidance,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_memos,APG Internal Accounting Memos,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_APG_IRIS,0,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_pafe,Planning Analytics for Excel (PAfE) User Guide,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,3,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,10,5,4,5,false,false,false,false
internal_par,Project Approval Request Guidance,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_pega_attestation,PEGA Attestation,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,0,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_process_and_controls,Internal Process and Controls Policies,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_FINANCE_ASSIST,4,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
internal_sab_99,SAB 99 Memos,internal,true,true,catalog|semantic,1,APP_0MF0_SAB99_IRIS,3,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,10,5,4,5,false,false,false,false
internal_wiki,APG Wiki,internal,true,true,catalog|semantic,1,APP_0MF0_MAVEN_APG_IRIS,0,document_summary|document_description|document_usage,semantic search,general content,100,10,10,1,3,100,true,20,20,100,6,3,4,5,false,false,false,false
